value,var,ver,pft,param,time
0.3249224,RDI,Recruitement,evergreen temperate conifer,Low RDI,6
0.251068,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,6
0.18807898,RDI,No recruitement,deciduous temperate broadleaved,high RDI,6
0.50992423,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,6
10.319997,BA,No recruitement,evergreen temperate conifer,Low RDI,6
10.31799,BA,No recruitement,evergreen temperate conifer,high RDI,6
10.31799,BA,Recruitement,evergreen temperate conifer,Low RDI,6
3.7197065,BA,No recruitement,deciduous temperate broadleaved,Low RDI,6
2.684571,BA,No recruitement,deciduous temperate broadleaved,high RDI,6
5.9550366,BA,Recruitement,deciduous temperate broadleaved,Low RDI,6
0.029633455,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,6
0.029659621,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,6
0.029659621,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,6
0.048573293,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,6
0.04500652,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,6
0.030380234,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,6
1.4956146,IND,No recruitement,evergreen temperate conifer,Low RDI,6
1.4926883,IND,No recruitement,evergreen temperate conifer,high RDI,6
1.4926883,IND,Recruitement,evergreen temperate conifer,Low RDI,6
0.20044643,IND,No recruitement,deciduous temperate broadleaved,Low RDI,6
0.16811734,IND,No recruitement,deciduous temperate broadleaved,high RDI,6
0.8205164,IND,Recruitement,deciduous temperate broadleaved,Low RDI,6
0.3512172,RDI,No recruitement,evergreen temperate conifer,Low RDI,7
0.35112965,RDI,No recruitement,evergreen temperate conifer,high RDI,7
0.35112965,RDI,Recruitement,evergreen temperate conifer,Low RDI,7
0.1977098,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,7
0.23541136,RDI,No recruitement,deciduous temperate broadleaved,high RDI,7
0.3983424,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,7
11.272359,BA,No recruitement,evergreen temperate conifer,Low RDI,7
11.272822,BA,No recruitement,evergreen temperate conifer,high RDI,7
11.272822,BA,Recruitement,evergreen temperate conifer,Low RDI,7
3.0950778,BA,No recruitement,deciduous temperate broadleaved,Low RDI,7
3.6263742,BA,No recruitement,deciduous temperate broadleaved,high RDI,7
4.8897758,BA,Recruitement,deciduous temperate broadleaved,Low RDI,7
0.030982003,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,7
0.031018512,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,7
0.031018512,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,7
0.054502588,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,7
0.0523549,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,7
0.033505708,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,7
1.4948133,IND,No recruitement,evergreen temperate conifer,Low RDI,7
1.4913529,IND,No recruitement,evergreen temperate conifer,high RDI,7
1.4913529,IND,Recruitement,evergreen temperate conifer,Low RDI,7
0.13522442,IND,No recruitement,deciduous temperate broadleaved,Low RDI,7
0.16795684,IND,No recruitement,deciduous temperate broadleaved,high RDI,7
0.55346125,IND,Recruitement,deciduous temperate broadleaved,Low RDI,7
0.37223658,RDI,No recruitement,evergreen temperate conifer,Low RDI,8
0.37214682,RDI,No recruitement,evergreen temperate conifer,high RDI,8
0.37214682,RDI,Recruitement,evergreen temperate conifer,Low RDI,8
0.2154243,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,8
