value,var,ver,pft,param,time
0.48187217,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,7
0.46326044,RDI,No recruitement,deciduous temperate broadleaved,high RDI,7
0.6235633,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,7
9.240679,BA,No recruitement,evergreen temperate conifer,Low RDI,7
9.239142,BA,No recruitement,evergreen temperate conifer,high RDI,7
9.239142,BA,Recruitement,evergreen temperate conifer,Low RDI,7
5.7784624,BA,No recruitement,deciduous temperate broadleaved,Low RDI,7
5.4881954,BA,No recruitement,deciduous temperate broadleaved,high RDI,7
6.822428,BA,Recruitement,deciduous temperate broadleaved,Low RDI,7
0.0280404,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,7
0.028082136,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,7
0.028082136,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,7
0.032059103,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,7
0.03130392,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,7
0.026765317,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,7
1.4959807,IND,No recruitement,evergreen temperate conifer,Low RDI,7
1.4912882,IND,No recruitement,evergreen temperate conifer,high RDI,7
1.4912882,IND,Recruitement,evergreen temperate conifer,Low RDI,7
0.7155148,IND,No recruitement,deciduous temperate broadleaved,Low RDI,7
0.71281475,IND,No recruitement,deciduous temperate broadleaved,high RDI,7
1.2122103,IND,Recruitement,deciduous temperate broadleaved,Low RDI,7
0.31277126,RDI,No recruitement,evergreen temperate conifer,Low RDI,8
0.31259075,RDI,No recruitement,evergreen temperate conifer,high RDI,8
0.31259075,RDI,Recruitement,evergreen temperate conifer,Low RDI,8
0.51966774,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,8
0.49805844,RDI,No recruitement,deciduous temperate broadleaved,high RDI,8
0.6560123,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,8
9.876129,BA,No recruitement,evergreen temperate conifer,Low RDI,8
9.874642,BA,No recruitement,evergreen temperate conifer,high RDI,8
9.874643,BA,Recruitement,evergreen temperate conifer,Low RDI,8
6.394284,BA,No recruitement,deciduous temperate broadleaved,Low RDI,8
6.0494576,BA,No recruitement,deciduous temperate broadleaved,high RDI,8
7.304206,BA,Recruitement,deciduous temperate broadleaved,Low RDI,8
0.02899606,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,8
0.029046435,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,8
0.029046437,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,8
0.033731073,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,8
0.032881796,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,8
0.027709898,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,8
1.4953296,IND,No recruitement,evergreen temperate conifer,Low RDI,8
1.4899218,IND,No recruitement,evergreen temperate conifer,high RDI,8
1.4899218,IND,Recruitement,evergreen temperate conifer,Low RDI,8
0.7152697,IND,No recruitement,deciduous temperate broadleaved,Low RDI,8
0.7121302,IND,No recruitement,deciduous temperate broadleaved,high RDI,8
1.2110217,IND,Recruitement,deciduous temperate broadleaved,Low RDI,8
0.33167568,RDI,No recruitement,evergreen temperate conifer,Low RDI,9
0.33146814,RDI,No recruitement,evergreen temperate conifer,high RDI,9
0.3314681,RDI,Recruitement,evergreen temperate conifer,Low RDI,9
0.55148554,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,9
0.5336454,RDI,No recruitement,deciduous temperate broadleaved,high RDI,9
0.6940841,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,9
